Document_Title,Authors,Author_Affiliations,Publication_Title,Date_Added_To_Xplore,Publication_Year,Abstract,Author_Keywords,IEEE_Terms,INSPEC_Controlled_Terms,Online_Date,Publisher
A Computer Virus Propagation Model in P2P Networks,"M. Liu,  L. Han,  F. Hong,  M. Zou","School of Computer Science and Technology, HUST, Wuhan, China,  School of Computer Science and Technology, HUST, Wuhan, China,  School of Computer Science and Technology, HUST, Wuhan, China,  School of Computer Science and Technology, HUST, Wuhan, China",2009 First International Workshop on Education Technology and Computer Science,26-May-09,2009,"Computer viruses are great threats to the operating system and the computer network. In order to handle those emergent situations might appear in the future and make corresponding policies immediately,  thorough researches of computer virus propagation are very important and urgently needed. But the spreading methods of computer viruses are different,  one simple model is unable to describe all the viruses. On the contrary, different models should be proposed according to the features of different types of viruses. This article proposed a computer virus propagation model to describe those viruses spreading through the P2P file-sharing network. This model took the files in the network as subjects instead of the computers,which are always adopted in the traditional models. It also introduced the notion of hot degree and file-type suitability degree over the sharing files to illustrate the virus propagation more specifically. Valuable conclusions we regained from the model. And the simulation data of this model accorded with the actual statistical data very well.","[computer virus model, information security, network security]","[Computer networks, Computer viruses, Computer science, Peer to peer computing, Educational technology, Information security, Computer worms, Computer science education, Operating systems]","[computer viruses, operating systems (computers), peer-to-peer computing]",26-May-09,IEEE
To Play with a Computer System,"L. Yingjie,  W. Cuihua","The information engineering Department, Zhejiang Forest University, Zhejiang, China,  The computer science Department, Harbin Institute of Technology, Weihai, Shandong, China",2008 International Symposium on Computer Science and Computational Technology,30-Dec-08,2008,"Games are attractive and they can improve the critical thinking and problem solving skills. To research their use in education is significant. The course ¿the Computer Composing Principles¿ is a core course in the computer science engineering degree. To understand the principles of each computer component deeply and expressly, a proposal is represented in the paper that is to play with a computer system. To take each computer component as a pass, the player is provided several selective strategies to construct the component. The game system feed back the efficiency of player¿s selection timely. The scenes, rules and the frame of the game system are described in details.","[games, the computer systems, passes, strategies]","[Computer science, Programming profession, Layout, Computer aided instruction, Problem-solving, Proposals, MATLAB, Computer science education, Feeds, TV]","[computer aided instruction, computer games, computer science education, educational courses]",30-Dec-08,IEEE
Green public computer lab using single-board computer and interactive computer reservation system,"B. Dolwithayakul,  P. Boonnasa,  S. Klomchit,  S. Tuwachaosuan","Department of Software Development Computer Centre, Silpakorn University Meaung, Nakhon-Pathom,  Department of Software Development Computer Centre, Silpakorn University Meaung, Nakhon-Pathom,  Department of Software Development Computer Centre, Silpakorn University Meaung, Nakhon-Pathom,  Department of Software Development Computer Centre, Silpakorn University Meaung, Nakhon-Pathom",2015 International Computer Science and Engineering Conference (ICSEC),11-Feb-16,2015,"Public computer lab is very common in college and university. The main cost for maintenance lab is the power cost. In our university, the public computer lab consume more than 40kWh per day. The earlier study found that most cost comes from a major part: Some users don't shut down the computer after their usage. In this study, we use a low-power single-board computer (Raspberry Pi 2) for interactive kiosk providing computer reservation system and temporary storing the student usage, the VM-Based server providing RESTful web service, and embedded software on the client for shutting down the idled computer. The study found the new reservation system can decrease energy consumption up to 44.32%, lower staff's maintenance time, fair of sharing limited computer resource, and student usages are record accurately.","[Green Computing, Public Computer Management, Web Service, Raspberry Pi]","[Computers, Power demand, Authentication, Monitoring, Servers, Power measurement, Maintenance engineering]","[educational institutions, embedded systems, green computing, power aware computing, virtual machines, Web services]",11-Feb-16,IEEE
Design and implementation of Linux network computer system based on Loongson Mipsel architecture,"Zhenjiang Qian,  Hao Huang","State Key Laboratory for Novel Software Technology Department of Computer Science&Technology, Nanjing University, Nanjing, China,  State Key Laboratory for Novel Software Technology Department of Computer Science&Technology, Nanjing University, Nanjing, China",2011 International Conference on Computer Science and Service System (CSSS),04-Aug-11,2011,"This paper advances Linux network computer model based on Loongson Mipsel architecture, from the aspect of computer architecture. This paper develops the target system and Debian/Linux operating system for Loongson network computers, with the thought of software engineering. This paper examines the results of practical operations during implementation phase. Our data demonstrates that Loongson network computer has a considerable advantage compared with other similar products from all aspects of overall system performance, security, power and cost. This research result has been promoted in series of Loongson ""MyLoong"" computers.","[Loongson CPU, mipsel architecture, network computer, Debian/Linux operating system, thin client]","[Linux, Computers, Manuals, Computer architecture, Central Processing Unit, Operating systems, Java]","[computer architecture, Linux, network computers, software engineering]",04-Aug-11,IEEE
Statistical method based computer fault prediction model for large computer centers,"Z. Tie,  H. Zhuang,  Q. Luo,  L. Tao","Instructional Division of Computer Technology, Zhejiang Sci-Tech University, Hangzhou, Zhejiang, P. R. China,  Instructional Division of Computer Technology, Zhejiang Sci-Tech University, Hangzhou, Zhejiang, P. R. China,  Instructional Division of Computer Technology, Zhejiang Sci-Tech University, Hangzhou, Zhejiang, P. R. China,  Instructional Division of Computer Technology, Zhejiang Sci-Tech University, Hangzhou, Zhejiang, P. R. China",2011 6th International Conference on Computer Science & Education (ICCSE),26-Sep-11,2011,"Computer laboratories in large computer centers play an important role for the computing education in higher education institutions. Due to heavy usage, there are often hardware or software problems on these computers. Thus computer laboratories management and maintenance is a very important and long-term task. For a computer laboratory, the computers' monthly used time follows the normal distribution, which is verified by the chi-square goodness-of-fit hypothesis test. According to probability distributions based on the normal distribution, a statistical method based computer fault prediction model for public computer laboratories is presented. Computers' health state is divided into four classes: the Normal state, the Concerning state, the Warning state, and the Fault state. For different levels of computer fault, different methods are used to maintain it. The experiment and application was conducted in a university computer center with hundreds of computers in 9 computer laboratories. The experiment and application results show that it is an effective way for finding fault computers. It can be used to guide computer maintenance. Computers maintenance workload is greatly reduced by using this fault prediction model.","[Statistical method, Computer laboratory, Chi-square goodness-of-fit hypothesis test, Fault prediction, Normal distribution]","[Computers, Laboratories, Computational modeling, Predictive models, Educational institutions, Gaussian distribution, Statistical analysis]","[computer centres, fault diagnosis, normal distribution, probability, system recovery]",26-Sep-11,IEEE
How to improving the non-computer science students' computer ability,"W. Zilan,  L. Jing,  X. Pan","Department of Traffic and Transportation, Southwest Jiaotong University, Sichuan, China,  Department of Traffic and Transportation, Southwest Jiaotong University, Sichuan, China,  Department of Traffic and Transportation, Southwest Jiaotong University, Sichuan, China",2011 6th International Conference on Computer Science & Education (ICCSE),26-Sep-11,2011,"With the rapid development of the computer and applied technology, universities increasingly focus on cultivating non-computer science students' computer application skills. This paper analyzes the teaching status and problems of non-computer major in universities, then explore the way to improve the computer application skills of the non-computer science students from the improvement of teaching resources, teaching and learning methods, the mental attitude towards to the computer education respectively. Propose appropriate measures to improve students' capacity of using computer to analyze and solve practical problems and to cultivate the compound talents with both computer skills and expertise.","[ability of computer application, non-computer major, Cultivation, computer teaching]","[Computers, Educational institutions, Training, Computer applications, Software, Programming]","[computer aided instruction, computer literacy, teaching]",26-Sep-11,IEEE
CE2016: Updated computer engineering curriculum guidelines,"E. Durant,  J. Impagliazzo,  S. Conry,  R. Reese,  H. Lam,  V. Nelson,  J. Hughes,  W. Liu,  J. Lu,  A. McGettrick","Electrical Engineering and Computer Science Department Milwaukee School of Engineering, Milwaukee, WI, USA,  Computer Science Department, Hofstra University, Hempstead, NY, USA,  Department of Electrical and Computer Engineering, Clarkson University, Potsdam, NY, USA,  Department of Electrical and Computer Engineering, Mississippi State University, Mississippi State, MS, USA,  Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA,  Department of Electrical and Computer Engineering, Auburn University, Auburn, AL, USA,  School of Electrical and Computer Engineering, Georgia Tech, Atlanta, GA, USA,  Department of Computer Science and Technology, Tsinghua University, Beijing, China,  School of Electrical Engineering and Computer Science, Peking University, Beijing, China,  Department of Computer and Information Sciences, University of Strathclyde, Glasgow, Scotland",2015 IEEE Frontiers in Education Conference (FIE),07-Dec-15,2015,Joint ACM/IEEE Computer Society undergraduate computer engineering curriculum guidelines are slated for release in 2016. These update the 2004 guidelines commonly known as CE2004. The presenters are part of the task group leading the revisions and will give an overview of the latest draft. Participants will engage in discussions on potential improvements to the guidelines to ensure that they are useful to programs as they work to ensure their curricula reflect the state-of-the-art in computer engineering education and practice and are relevant for the coming decade.,"[Computer engineering, curriculum guidelines, CE2004, CE2016, ACM, IEEE Computer Society]","[Computers, Guidelines, Computer science, Conferences, Electrical engineering, Computer science education]","[computer science education, educational courses, further education]",07-Dec-15,IEEE
Discussion on how to train computer professionals,Zhong Qu,"College of Computer Science & Technology, Chongqing University of Posts and Telecommunications, Chongqing, China",2011 International Conference on Computer Science and Service System (CSSS),04-Aug-11,2011,"With the rapid development and popularization of computer science, the employment of the college students majoring in computer science and the existing market demands are increasingly oppositely because of some problems in computer education. After analyzing the problems that the graduates majoring in computer science face and the views from different enterprises and departments on the training of computer students, we point out that computer education should be improved in such respects as teaching methods and evaluation system, and in the meantime great importance should be attached to the training of the students' sense of social responsibility and professional morality in order to cultivate multifunctional talents of innovative, scientific, practical and comprehensive ability.","[computer-science major, personnel training, innovation, practice, teaching methods, examination mode]","[Computers, Computer science, Training, Computer science education, Computational modeling, Software engineering]","[computer science education, continuing professional development, employment, teaching]",04-Aug-11,IEEE
Discussion of Computer Basis Education Reform and Innovation in Colleges and Universities,"Y. Yu,  X. Peng","Experiment Center, Wuhan University of Science and Technology, Wuhan, Hubei, China,  Department of Computer Science, Huazhong Normal University, Wuhan, Hubei, China",2009 First International Workshop on Education Technology and Computer Science,26-May-09,2009,"With the world coming into the information age, computer basis course has become the public basic course which must be set up in colleges and universities and the increasing popularization of computers makes the computer basis education in university facing with more and more higher request. Combined with specific actual teaching, this paper pointed out some problems faced by the current computer basis teaching, and discussed how to use modern means in aspects of teaching force, teaching mode, teaching content and teaching objectives and so on to improve the quality and effect of teaching and cultivate studentpsilas integrated capabilities, and how to take bold innovation and incessant reforms in teaching.","[computer basis education, teaching reform, teaching innovation, application ability, teaching force, the National Computer Rank Examination]","[Educational institutions, Computer science education, Technological innovation, Computer applications, Computer networks, Application software, Information technology, Educational technology, Computer science, Proposals]","[computer science education, educational institutions, teaching]",26-May-09,IEEE
Mediated reality using computer graphics hardware for computer vision,"J. Fung,  F. Tang,  S. Mann","Department of Electrical and Computer Engineering, University of Toronto, Toronto, Canada,  Department of Electrical and Computer Engineering, University of Toronto, Toronto, Canada,  Department of Electrical and Computer Engineering, University of Toronto, Toronto, Canada","Proceedings. Sixth International Symposium on Wearable Computers,",22-Jan-03,2002,"Wearable, camera based, head-tracking systems use spatial image registration algorithms to align images taken as the wearer gazes around their environment. This allows for computer-generated information to appear to the user as though it was anchored in the real world. Often, these algorithms require creation of a multiscale Gaussian pyramid or repetitive re-projection of the images. Such operations, however can be computationally expensive, and such head-tracking algorithms are desired to run in real-time on a body borne computer In this paper we present a method of using the 3D computer graphics hardware that is available in a typical wearable computer to accelerate the repetitive image projections required in many computer vision algorithms. We apply this ""graphics for vision"" technique to a wearable camera based head-tracking algorithm, implemented on a wearable computer with 3D graphics hardware. We perform an analysis of the acceleration achieved by applying graphics hardware to computer vision to create a Mediated Reality.",,"[Computer graphics, Hardware, Computer vision, Filtering, Wearable computers, Acceleration, Image resolution, Cameras, Iterative algorithms, Interpolation]","[computer graphics, computer vision, virtual reality, wearable computers]",22-Jan-03,IEEE
The application efficiency of computer technology in higher vocational education for disabled students,Mao Shichun,"College of Special Education, Beijing Union University, Beijing, China",2011 International Conference on Computer Science and Service System (CSSS),04-Aug-11,2011,"With the popularization of computer technology,it used more and more in support education teaching. this paper combined with the practise teaching in higher vocational education for disabled students, discussed the application efficiency of computer technology in higher vocational education for hearing-impaired students and blind students.","[Computer technology, Hearing-impaired students, Blind students, Computer teaching]","[Computers, Internet, Helium, Computational modeling, Information technology, Educational institutions]","[computer aided instruction, handicapped aids, teaching, vocational training]",04-Aug-11,IEEE
"Computer Crimes, Computer Security and Computer Law: Phenomenon’s Dynamics Notes from the Russian Chair of Computer Law",Y. Baturin,"S.I.Vavilov Institute for the History of Science and Technology of the Russian Academy of Sciences, Mosrcow, Russian Federation",2017 International Workshop on Engineering Technologies and Computer Science (EnT),19-Oct-17,2017,"The article describes the practice of applying laws on computer crimes in the Russian Federation, as well as the situation with computer security and the training of specialists in the field of computer law.","[computer crimes, computer security, computer law]","[Computer crime, Second Life, Law enforcement, Training]","[computer crime, law]",19-Oct-17,IEEE
On Teaching Practice of Computer English,"Z. Tieying,  W. Di,  Z. Zhiguo","School of Computer, Northeast Normal University, Changchun, China,  School of Computer, Northeast Normal University, Changchun, China,  School of Computer, Northeast Normal University, Changchun, China",2008 International Conference on Computer Science and Software Engineering,22-Dec-08,2008,"Computer english is a very special course in the computer science curriculum. Based on 6 round teaching practice, the problems met in teaching activity are analyzed. The measures of teaching organization to improve teaching and studying quality are presented, which include focusing teaching target, choosing teaching materials, applying new teaching methods in class teaching and adjusting final exam content. The class survey and final exam data show that the result is very promising.","[teaching practice, computer English]","[Education, Application software, Writing, Computer science, Software engineering, Hardware, Educational institutions, Vocabulary, Computer networks, Internet]","[computer aided instruction, computer science education, teaching]",22-Dec-08,IEEE
Application of NS2 in Education of Computer Networks,"Z. A. Qun,  W. Jun","School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China,  School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China",2008 International Conference on Advanced Computer Theory and Engineering,06-Jan-09,2008,"In order to solve the realistic problems in the teaching and experiment of computer network courses, a NS2-based demonstration and experiment system for computer network courses has been constructed. This system is made up of two parts, one of which is the demonstration system for teachers to demonstrate in class, and the other is the experiment system for students to do experiment in the laboratory or after school. This system has achieved some beneficial effect in the education practice. The future work is focused on the improvement of the experiment database.","[computer network courses, NS2, demonstration system, experiment system]","[Application software, Computer science education, Computer networks, Protocols, Object oriented modeling, Computational modeling, Computer simulation, Analytical models, Discrete event simulation, Laboratories]","[computer aided instruction, computer networks, computer science education, discrete event simulation, educational courses]",06-Jan-09,IEEE
"Computer anxiety, self-efficacy, computer experience: an investigation throughout a computer science degree","E. Doyle,  I. Stamouli,  M. Huggard","Department of Computer Science, Trinity College Dublin, Dublin, Ireland,  Department of Computer Science, Trinity College Dublin, Dublin, Ireland,  Department of Computer Science, Trinity College Dublin, Dublin, Ireland",Proceedings Frontiers in Education 35th Annual Conference,03-Apr-06,2005,"Considerable research has focused on the relationship between computer experience, computer anxiety and self-efficacy. These factors have been used both individually and in combination as predictors in the social sciences and business studies [1, 7, 17]. However, very few studies investigate their effects in the area of computer science. This study focuses on capturing these factors across the four years of a computer science course at Trinity College, Dublin. It shows that as computer experience increases self-efficacy also increases while computer anxiety decreases with increasing experience","[Computer Anxiety, Computer Experience, Computer Science, Self-efficacy]","[Computer science, Educational institutions, Computer displays, Design for experiments, Psychology, Cognition]","[computer science education, educational courses, educational institutions]",03-Apr-06,IEEE
"A Research on the Fundamentality and Experimental Teaching Methods of the Course of ""University Computer""","F. Li,  T. Song,  S. Zhao","Dept. of Computer Science, Beijing Institute of Technology, Beijing, China,  Dept. of Computer Science, Beijing Institute of Technology, Beijing, China,  Dept. of Computer Science, Beijing Institute of Technology, Beijing, China",2013 International Conference on Computer Sciences and Applications,19-Jun-14,2013,"We take the first computer course for undergraduate students, University Computer, as the starting point of our discussion in this paper. In an attempt to solve the problem of the lack of fundamentality in public computer courses, we propose the ""three matches"" for public computer education based on an analysis of the mismatch between the course content and the course objectives. The three matches are the match between the experimental content and the course material, the match between the assessment and the course syllabus, and the match between the course planning and the course objective. We propose methodology and examples for designing teaching experiments for the University Computer course, using virtual reality technology. In addition, we study how to reveal the fundamentality of public computer courses in this paper.","[University Computer course, fundamentality, experiment design]","[Computers, Educational institutions, Virtual reality, Application software, Computer architecture]","[computer aided instruction, computer science education, educational courses, further education, teaching, virtual reality]",19-Jun-14,IEEE
Research on Routing Protocol of Wireless Ad Hoc Network Based on Wearable Computers,"Y. Gao,  D. Luo,  D. Zuo,  X. Yang","School of computer science and technology, Harbin Institute of Technology, Harbin, China,  School of computer science and technology, Harbin Institute of Technology, Harbin, China,  School of computer science and technology, Harbin Institute of Technology, Harbin, China,  School of computer science and technology, Harbin Institute of Technology, Harbin, China",2008 International Symposium on Computer Science and Computational Technology,30-Dec-08,2008,"Wearable computers need networking by using wireless ad hoc network in order to utilize them more effectively, routing protocol becomes an important research field for its significance in wireless ad hoc network. In Ad Hoc network, there are mainly two kinds of routing protocols: proactive routing protocol and on-demand routing protocol, to evaluate the performance of two kinds of protocols, we choose two representative protocols, DSDV and AODV, and implement network simulations with OPNET. Packet delivery ratio, average end-to-end delay and energy consumption are analyzed and compared by changing node¿s speed, the interval of sending packet and initial energy. Simulation results demonstrate that on-demand routing protocol is suitable for the wearable computer network where energy supply is limited, topology changes a lot or communications frequently, and proactive routing protocol is suitable for the wearable computer network where high real time is required.","[computer, routing protocol, simulation]","[Routing protocols, Mobile ad hoc networks, Wearable computers, Computational modeling, Energy consumption, Computer simulation, Military computing, Computer science, Computer networks, Mobile computing]","[ad hoc networks, delays, energy consumption, routing protocols, wearable computers]",30-Dec-08,IEEE
